ability,able
malignancy,malignant
malpractice,criminal
median,median
mercy,merciful
metaphor,metaphoric
methodicalness,methodical
miracle,miraculous
mischief,mischievous
misconception,mistaken
misery,miserable
misfortune,unfortunate
mistake,mistake
modesty,modest
mogul,expert
mortality,mortal
narrowness,narrow
nationalist,nationistic
native,native
necessity,necessary
necessity,necessary
negligence,negligent
nerve,nervous
nervousness,nervous
net,total
newcomer,new
nobility,noble
non-event,unimportant
norm,normal
normalcy,normal
north,north
novice,expert
nutrition,nutritious
objectivity,objective
obscurity,obscure
oddity,odd
one-upsmanship,competitive
openness,open
opportunism,opportunistic
opposite,opposite
optimism,optimistic
originality,original
other,different
outage,short
overbreadth,overbroad
panjandrum,expert
parallel,parallel
particular,particular
passion,passionate
passivity,passive
patience,patient
peculiarity,peculiar
penchant,fondness
permanence,permanent
personality,personal
persuasiveness,persuasive
perversion,perverse
perversity,perverse
pessimism,pessimistic
pessimist,pessimistic
pettiness,petty
phobia,phobic
pilot,preliminary
place,appropriate
popularity,popular
positiveness,positive
possibility,possible
possiblity,possible
potentiality,potential
powerhouse,expert
pragmatism,pragmatic
pre-eminence,pre-eminent
precision,precise
precondition,prerequisite
predicament,difficult
predictability,predictable
pregnancy,pregnant
prerequisite,prerequisite
prestige,prestigious
prevalance,prevalent
pride,proud
principal,principal
priority,prior
privacy,private
pro,expert
probability,probable
prodigy,expert
productivity,productive
professional,expert
proficiency,proficient
prominence,prominent
propensity,tendency
proviso,prerequisite
publicity,public
pundit,expert
purist,expert
pusillanimity,pusillanimous
quirk,quirky
racket,illegitimate
radioactivity,radioactive
rage,popular
rancor,rancorous
randomness,random
rank,rank
rapidity,rapid
rapport,compatible
rarity,rare
rationality,rational
readiness,ready
readjustment,adjust
readjustment,eadjustments
realism,realistic
reality,real
receptivity,receptive
regularity,regular
relation,fond
relationship,fond
relevance,relevant
relevancy,relevant
reluctance,reluctant
repository,expert
resilience,resilient
resiliency,resilient
respectability,responsible
respectability,respectable
responsibility,responsible
reticence,reticent
richness,rich
rigidity,rigid
rigor,rigorous
riskiness,risky
roll,successful
room,potential
safety,safe
sage,sage
sanctity,sacrid
satire,satirical
scarcity,scarce
seasonality,seasonal
second,second
secrecy,secret
senior,oldest
seniority,senior
sensationalism,sensationalistic
sensibility,sensible
sensitivity,sensitive
sensuality,sensual
sentimentality,sentimental
seriousness,serious
severity,severe
sharpness,sharp
shortage,short
shot,famous
significance,significant
silence,silent
simplicity,simple
sincerity,sincere
skill,skilled
skittishness,skittish
slouch,expert
sluggishness,sluggish
snafu,difficult
snobbery,snobbish
softness,soft
solvency,solvent
sophistication,sophisticated
soundness,sound
south,south
southeast,southeast
southwest,southwest
sovereignty,sovereign
specificity,specific
specifics,specific
spot,current
squalor,squalid
stability,stable
stalwart,stalwart
statism,statist
steadiness,steady
sterility,sterile
stickiness,sticky
strangeness,strange
stranger,strange
strategist,expert
strength,strong
studiousness,studious
subtlety,subtle
superior,superior
superiority,superior
superstar,famous
supremacy,supreme
sweetheart,generous
sweetness,sweet
symmetry,symmetrical
symptom,symptomatic
table,possible
table,negotiable
table,forthright
taboo,taboo
taking,taking
timidity,timid
titan,expert
title,leading
top,top
topic,significant
toughness,tough
toxicity,toxic
traditionalist,traditional
truculence,truculent
truth,true
tune,harmonious
turbulence,turbulent
turmoil,turbulent
tycoon,expert
ubiquity,ubiquitous
unanimity,unanimous
unavailability,unavailable
unawareness,unaware
uncertainty,uncertain
unease,uneasy
uneasiness,uneasy
unhappiness,unhappy
uniformity,uniform
unknown,unknown
unpleasantness,unpleasant
unpopularity,unpopular
unreasonableness,unreasonable
unsteadiness,unsteady
unwillingness,unwilling
upheaval,turbulent
urgency,urgent
usefulness,useful
vacancy,vacant
vagary,vague
validity,valid
vanity,vain
variable,variable
vehemence,vehement
veracity,veracious
viability,viable
vicinity,near
victor,victorious
victory,victorious
vigor,vigorous
violence,violent
virility,virile
virtue,virtuous
virulence,virulent
visibility,visible
visionary,visionary
vitality,vital
vogue,stylish
volatility,volatile
vulnerability,vulnerable
way,backward
weakness,weak
wealth,wealthy
weariness,weary
west,west
whiteness,white
whiz,expert
willingness,willing
wisdom,wise
wizard,expert
worth,worth
worthiness,worthy
wrath,wrathful
youth,young'
